Membership No  Date Joined  Gender  Active  Age
    86171      2021-2-12    F       no      63 
    64886      2020-6-16    M       no      30 
    40310      2020-3-4     F       no      21 
    37227      2020-5-17    F       no      55 
    47182      2021-2-12    M       no      51 
    58993      2020-2-11    M       no      36 
    15324      2021-9-1     F       no      45 
    61600      2021-7-22    M       no      44 
    50223      2021-3-25    F       no      30 
    98371      2020-3-23    F       no      52 
    18740      2020-6-1     M       no      36 
    48615      2020-5-21    M       no      35 
    68452      2021-9-10    M       no      46 
    94636      2020-6-11    F       no      59 
    17135      2021-7-5     M       no      53 
